season,team,total_runs,total_balls,avg_strike_rate,home_matches,home_wins,home_win_rate,toss_win_rate,bat_first_decision_rate,late_season_match_pct
2022.0,CSK,2165.0,1652.0,102.42544642857142,7.0,2.0,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.42857142857142855
2022.0,DC,2218.0,1589.0,117.16364485981309,7.0,4.0,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855
2022.0,GT,2517.0,1902.0,113.19297297297297,9.0,7.0,0.7777777777777778,0.625,0.4,0.4375
2022.0,KKR,2109.0,1572.0,109.13024,7.0,4.0,0.5714285714285714,0.5714285714285714,0.125,0.35714285714285715
2022.0,LSG,2405.0,1761.0,118.6217543859649,8.0,4.0,0.5,0.4666666666666667,0.2857142857142857,0.4
2022.0,MI,2100.0,1633.0,114.45104347826087,7.0,1.0,0.14285714285714285,0.6428571428571429,0.0,0.35714285714285715
2022.0,PBKS,2193.0,1620.0,120.69181818181818,7.0,2.0,0.2857142857142857,0.0,0.0,0.35714285714285715
2022.0,RCB,2454.0,1875.0,113.72864,7.0,4.0,0.5714285714285714,0.5,0.25,0.375
2022.0,RR,2807.0,2036.0,122.63224000000001,8.0,4.0,0.5,0.23529411764705882,0.5,0.47058823529411764
2022.0,SRH,2084.0,1570.0,111.9183495145631,7.0,2.0,0.2857142857142857,0.7142857142857143,0.1,0.42857142857142855
2023.0,CSK,2600.0,1749.0,136.86271028037382,8.0,5.0,0.625,0.6,0.4444444444444444,0.4
2023.0,DC,1865.0,1542.0,94.69417322834646,7.0,2.0,0.2857142857142857,0.5384615384615384,0.2857142857142857,0.38461538461538464
2023.0,GT,2906.0,1981.0,127.38310344827586,9.0,5.0,0.5555555555555556,0.5294117647058824,0.2222222222222222,0.5294117647058824
2023.0,KKR,2167.0,1537.0,113.89442477876106,7.0,2.0,0.2857142857142857,0.38461538461538464,0.2,0.38461538461538464
2023.0,LSG,2207.0,1643.0,113.52458333333334,7.0,3.0,0.42857142857142855,0.21428571428571427,0.0,0.42857142857142855
2023.0,MI,2639.0,1758.0,122.58146551724138,6.0,4.0,0.6666666666666666,0.6,0.1111111111111111,0.5333333333333333
2023.0,PBKS,2228.0,1558.0,122.8610909090909,6.0,1.0,0.16666666666666666,0.0,0.0,0.3076923076923077
2023.0,RCB,2393.0,1644.0,118.93358490566037,7.0,3.0,0.42857142857142855,0.5714285714285714,0.375,0.42857142857142855
2023.0,RR,2287.0,1567.0,113.92682242990654,7.0,2.0,0.2857142857142857,0.7142857142857143,0.4,0.35714285714285715
2023.0,SRH,2268.0,1674.0,121.4641592920354,7.0,1.0,0.14285714285714285,0.5,0.42857142857142855,0.42857142857142855
